date,areaType,areaCode,areaName,metric,age,value,rate
23/09/2020,nation,W92000004,Wales,femaleCases,90+,683,3279.7
23/09/2020,nation,W92000004,Wales,maleCases,90+,312,3219.5
24/09/2020,nation,W92000004,Wales,femaleCases,0_to_4,78,96.5
24/09/2020,nation,W92000004,Wales,maleCases,0_to_4,94,111.0
24/09/2020,nation,W92000004,Wales,femaleCases,10_to_14,85,94.9
24/09/2020,nation,W92000004,Wales,maleCases,10_to_14,130,138.0
24/09/2020,nation,W92000004,Wales,femaleCases,15_to_19,318,360.9
24/09/2020,nation,W92000004,Wales,maleCases,15_to_19,283,305.2
24/09/2020,nation,W92000004,Wales,femaleCases,20_to_24,953,1147.1
24/09/2020,nation,W92000004,Wales,maleCases,20_to_24,515,576.7
24/09/2020,nation,W92000004,Wales,femaleCases,25_to_29,1166,1213.8
24/09/2020,nation,W92000004,Wales,maleCases,25_to_29,692,650.7
24/09/2020,nation,W92000004,Wales,femaleCases,30_to_34,1018,1000.8
24/09/2020,nation,W92000004,Wales,maleCases,30_to_34,635,596.0
24/09/2020,nation,W92000004,Wales,femaleCases,35_to_39,981,1014.6
24/09/2020,nation,W92000004,Wales,maleCases,35_to_39,607,630.5
24/09/2020,nation,W92000004,Wales,femaleCases,40_to_44,996,1065.2
24/09/2020,nation,W92000004,Wales,maleCases,40_to_44,556,608.2
24/09/2020,nation,W92000004,Wales,femaleCases,45_to_49,1240,1443.6
24/09/2020,nation,W92000004,Wales,maleCases,45_to_49,646,772.2
24/09/2020,nation,W92000004,Wales,femaleCases,5_to_9,84,75.3
24/09/2020,nation,W92000004,Wales,maleCases,5_to_9,83,78.4
24/09/2020,nation,W92000004,Wales,femaleCases,50_to_54,1398,1369.4
24/09/2020,nation,W92000004,Wales,maleCases,50_to_54,704,725.9
24/09/2020,nation,W92000004,Wales,femaleCases,55_to_59,1229,1085.8
24/09/2020,nation,W92000004,Wales,maleCases,55_to_59,740,689.7
24/09/2020,nation,W92000004,Wales,femaleCases,60_to_64,747,754.9
24/09/2020,nation,W92000004,Wales,maleCases,60_to_64,514,547.4
24/09/2020,nation,W92000004,Wales,femaleCases,65_to_69,369,394.3
24/09/2020,nation,W92000004,Wales,maleCases,65_to_69,374,422.3
24/09/2020,nation,W92000004,Wales,femaleCases,70_to_74,356,384.2
24/09/2020,nation,W92000004,Wales,maleCases,70_to_74,454,524.0
24/09/2020,nation,W92000004,Wales,femaleCases,75_to_79,434,645.0
24/09/2020,nation,W92000004,Wales,maleCases,75_to_79,522,877.3
24/09/2020,nation,W92000004,Wales,femaleCases,80_to_84,519,1036.6
24/09/2020,nation,W92000004,Wales,maleCases,80_to_84,518,1304.8
24/09/2020,nation,W92000004,Wales,femaleCases,85_to_89,615,1893.4
24/09/2020,nation,W92000004,Wales,maleCases,85_to_89,429,2005.0
24/09/2020,nation,W92000004,Wales,femaleCases,90+,686,3294.1
24/09/2020,nation,W92000004,Wales,maleCases,90+,313,3229.8
28/09/2020,nation,W92000004,Wales,femaleCases,0_to_4,91,112.6
28/09/2020,nation,W92000004,Wales,maleCases,0_to_4,117,138.1
28/09/2020,nation,W92000004,Wales,femaleCases,10_to_14,107,119.5
28/09/2020,nation,W92000004,Wales,maleCases,10_to_14,149,158.2
28/09/2020,nation,W92000004,Wales,femaleCases,15_to_19,405,459.7
28/09/2020,nation,W92000004,Wales,maleCases,15_to_19,357,385.1
28/09/2020,nation,W92000004,Wales,femaleCases,20_to_24,1069,1286.7
28/09/2020,nation,W92000004,Wales,maleCases,20_to_24,638,714.4
28/09/2020,nation,W92000004,Wales,femaleCases,25_to_29,1224,1274.2
28/09/2020,nation,W92000004,Wales,maleCases,25_to_29,744,699.6
28/09/2020,nation,W92000004,Wales,femaleCases,30_to_34,1085,1066.7
28/09/2020,nation,W92000004,Wales,maleCases,30_to_34,703,659.8
28/09/2020,nation,W92000004,Wales,femaleCases,35_to_39,1058,1094.3
28/09/2020,nation,W92000004,Wales,maleCases,35_to_39,679,705.3
28/09/2020,nation,W92000004,Wales,femaleCases,40_to_44,1076,1150.7
28/09/2020,nation,W92000004,Wales,maleCases,40_to_44,614,671.7
28/09/2020,nation,W92000004,Wales,femaleCases,45_to_49,1303,1517.0
28/09/2020,nation,W92000004,Wales,maleCases,45_to_49,711,849.8
28/09/2020,nation,W92000004,Wales,femaleCases,5_to_9,93,83.3
28/09/2020,nation,W92000004,Wales,maleCases,5_to_9,99,93.5
