Rank,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recoveries,Active Cases,Serious/Critical,Total Cases/1m Population,Total Deaths/1m Population,Total Tests,Total Tests/1m Population,Population,Continent
118,Maldives,26920,NaN,71,NaN,23935,NaN,2914,83,49109,130,695905,1269513,548167,Asia
119,Mongolia,26692,1328,61,5,13772,426,12859,88,8038,18,2606797,785041,3320589,Asia
120,Angola,24883,NaN,570,NaN,22882,NaN,1431,24,739,17,449666,13351,33680369,Africa
121,Rwanda,24112,NaN,327,NaN,22579,NaN,1206,6,1825,25,1269302,96097,13208558,Africa
122,Gabon,22228,NaN,136,NaN,18908,NaN,3184,28,9802,60,703735,310332,2267685,Africa
123,Guinea,21745,79,139,NaN,19080,76,2526,24,1621,10,423364,31554,13416924,Africa
124,Syria,21584,NaN,1483,NaN,15216,NaN,4885,NaN,1210,83,103566,5805,17840151,Asia
125,Cabo Verde,21179,NaN,198,NaN,18500,NaN,2481,23,37763,353,142081,253338,560835,Africa
126,Mayotte,19849,NaN,169,NaN,2964,NaN,16716,7,71381,608,165683,595828,278072,Africa
127,Réunion,19343,NaN,141,NaN,17653,NaN,1549,36,21482,157,100098,111165,900449,Africa
128,French Polynesia,18722,NaN,141,NaN,4842,NaN,13739,4,66340,500,26355,93387,282214,Australia/Oceania
129,French Guiana,18545,NaN,96,NaN,9995,NaN,8454,12,60831,315,205111,672804,304860,South America
130,Eswatini,18423,NaN,671,NaN,17721,NaN,31,3,15749,574,179840,153734,1169810,Africa
131,Mauritania,18175,NaN,454,NaN,17540,NaN,181,14,3829,96,224477,47286,4747175,Africa
132,Guadeloupe,13669,NaN,185,NaN,2242,NaN,11242,23,34157,462,171662,428963,400179,North America
133,Somalia,13459,NaN,689,NaN,5593,NaN,7177,NaN,828,42,107545,6619,16246778,Africa
134,Mali,13336,NaN,451,NaN,7646,NaN,5239,NaN,644,22,248587,12000,20715746,Africa
135,Tajikistan,13308,NaN,90,NaN,13218,NaN,0,NaN,1371,9,NaN,NaN,9708844,Asia
136,Burkina Faso,13167,NaN,155,NaN,12812,NaN,200,NaN,616,7,177733,8321,21360401,Africa
137,Haiti,12944,NaN,251,NaN,11945,NaN,748,NaN,1124,22,60085,5218,11514071,North America
138,Andorra,12917,NaN,123,NaN,12334,NaN,460,25,166962,1590,193595,2502359,77365,Europe
139,Togo,12657,NaN,121,NaN,10431,NaN,2105,NaN,1501,14,302679,35889,8433723,Africa
140,Belize,12585,NaN,318,NaN,12164,NaN,103,1,31197,788,112281,278332,403407,North America
141,Guyana,12132,NaN,274,NaN,10442,NaN,1416,12,15365,347,111885,141697,789606,South America
142,Curaçao,11983,NaN,95,NaN,9820,NaN,2068,22,72786,577,90143,547539,164633,North America
143,Hong Kong,11719,14,209,NaN,11315,13,195,3,1553,28,11193673,1483419,7545862,Asia
144,Lesotho,10720,NaN,316,NaN,5975,NaN,4429,NaN,4972,147,74675,34638,2155898,Africa
145,Djibouti,10633,NaN,129,NaN,9801,NaN,703,NaN,10638,129,145526,145596,999519,Africa
146,Martinique,10611,NaN,68,NaN,98,NaN,10445,24,28294,181,149454,398512,375030,North America
147,South Sudan,10486,NaN,114,NaN,10250,NaN,122,NaN,928,10,144957,12829,11299054,Africa
148,Aruba,10437,NaN,94,NaN,9978,NaN,365,14,97423,877,142254,1327851,107131,North America
149,Papua New Guinea,10338,NaN,99,NaN,7364,NaN,2875,NaN,1138,11,73276,8068,9082662,Australia/Oceania
