Area,Date,Total_Cases,Daily_Cases
Torfaen,26/04/2020,287,2
Vale of Glamorgan,26/04/2020,480,6
Wrexham,26/04/2020,210,6
Anglesey,27/04/2020,69,3
Blaenau Gwent,27/04/2020,262,9
Bridgend,27/04/2020,371,0
Caerphilly,27/04/2020,567,9
Cardiff,27/04/2020,1609,26
Carmarthenshire,27/04/2020,440,8
Ceredigion,27/04/2020,35,0
Conwy,27/04/2020,192,8
Denbighshire,27/04/2020,229,8
Flintshire,27/04/2020,214,5
Gwynedd,27/04/2020,201,12
Merthyr Tydfil,27/04/2020,231,6
Monmouthshire,27/04/2020,230,1
Neath Port Talbot,27/04/2020,461,7
Newport,27/04/2020,559,13
Pembrokeshire,27/04/2020,197,3
Powys,27/04/2020,157,3
Rhondda Cynon Taf,27/04/2020,1009,20
Swansea,27/04/2020,978,31
Torfaen,27/04/2020,290,3
Vale of Glamorgan,27/04/2020,494,14
Wrexham,27/04/2020,219,9
Anglesey,28/04/2020,74,5
Blaenau Gwent,28/04/2020,266,4
Bridgend,28/04/2020,381,10
Caerphilly,28/04/2020,577,10
Cardiff,28/04/2020,1639,29
Carmarthenshire,28/04/2020,449,9
Ceredigion,28/04/2020,35,0
Conwy,28/04/2020,201,9
Denbighshire,28/04/2020,235,6
Flintshire,28/04/2020,219,5
Gwynedd,28/04/2020,210,9
Merthyr Tydfil,28/04/2020,234,3
Monmouthshire,28/04/2020,233,3
Neath Port Talbot,28/04/2020,479,18
Newport,28/04/2020,672,3
Pembrokeshire,28/04/2020,203,6
Powys,28/04/2020,162,5
Rhondda Cynon Taf,28/04/2020,1048,39
Swansea,28/04/2020,1009,31
Torfaen,28/04/2020,295,5
Vale of Glamorgan,28/04/2020,501,7
Wrexham,28/04/2020,229,10
Anglesey,29/04/2020,80,6
Blaenau Gwent,29/04/2020,270,4
Bridgend,29/04/2020,388,7
Caerphilly,29/04/2020,582,5
Cardiff,29/04/2020,1653,15
Carmarthenshire,29/04/2020,456,7
Ceredigion,29/04/2020,35,0
Conwy,29/04/2020,206,5
Denbighshire,29/04/2020,241,6
Flintshire,29/04/2020,221,2
Gwynedd,29/04/2020,218,8
Merthyr Tydfil,29/04/2020,239,5
Monmouthshire,29/04/2020,233,0
Neath Port Talbot,29/04/2020,483,4
Newport,29/04/2020,679,7
Pembrokeshire,29/04/2020,206,3
Powys,29/04/2020,166,4
Rhondda Cynon Taf,29/04/2020,1060,12
Swansea,29/04/2020,1019,10
Torfaen,29/04/2020,295,0
Vale of Glamorgan,29/04/2020,507,6
Wrexham,29/04/2020,230,1
Anglesey,30/04/2020,81,1
Blaenau Gwent,30/04/2020,272,2
Bridgend,30/04/2020,401,13
Caerphilly,30/04/2020,589,7
Cardiff,30/04/2020,1668,15
Carmarthenshire,30/04/2020,463,7
Ceredigion,30/04/2020,36,1
Conwy,30/04/2020,217,11
Denbighshire,30/04/2020,251,10
Flintshire,30/04/2020,227,6
Gwynedd,30/04/2020,229,11
Merthyr Tydfil,30/04/2020,249,10
Monmouthshire,30/04/2020,237,4
Neath Port Talbot,30/04/2020,489,6
Newport,30/04/2020,684,5
Pembrokeshire,30/04/2020,210,4
Powys,30/04/2020,169,3
Rhondda Cynon Taf,30/04/2020,1085,25
Swansea,30/04/2020,1029,10
